,id,title,adult,popularity,release_date,vote_average,vote_count
304,772973,The Inhabitant,False,16.181,2022-10-07,7.0,40
305,852438,Final Cut,False,16.139,2022-05-17,7.3,176
306,849242,Harka,False,15.901,2022-11-02,0.0,0
307,1017420,やまぶき,False,15.777,2022-11-05,0.0,0
308,745608,Employee of the Month,False,15.675,2022-06-29,6.1,71
309,619918,Ella Bella Bingo,False,15.594,2020-01-24,6.4,55
310,862965,Emily the Criminal,False,15.58,2022-08-12,6.8,123
311,735697,Incredible But True,False,15.198,2022-06-15,6.1,124
312,912726,Rhinegold,False,15.186,2022-10-27,6.0,2
313,1038346,"Fears, Wishes & Reality",False,15.151,2022-11-05,0.0,0
314,966563,Ainsworth,False,15.126,2022-11-05,0.0,0
315,1030270,Umorzenie,False,15.091,2022-11-05,0.0,0
316,1037416,Real Fur,False,15.086,2022-11-05,0.0,0
317,964832,Jacky Caillou,False,15.019,2022-11-02,5.5,1
318,768757,Both Sides of the Blade,False,15.019,2022-07-08,5.8,22
319,571468,Freaks Out,False,14.993,2021-10-28,7.4,706
320,841733,The Storied Life of A.J. Fikry,False,14.965,2022-10-07,6.3,3
321,475094,The Captain,False,14.825,2018-02-02,7.2,343
322,972370,"Salvajes, El Cuento Del Lobo",False,14.76,2022-09-30,0.0,0
323,925834,Maya Nilo (Laura),False,14.76,2022-11-04,0.0,0
324,944943,Le monde de Kaleb,False,14.748,2022-11-02,0.0,0
325,894842,Arvor de 2 à 5,False,14.669,2022-11-02,0.0,0
326,1017229,EXIT,False,14.603,2022-11-05,0.0,0
327,1037361,Ballymanus,False,14.598,2022-11-05,0.0,0
328,1037354,No One Told Me,False,14.587,2022-11-05,0.0,0
329,660000,Lost Illusions,False,14.507,2021-10-20,7.5,305
330,11546,Police Academy: Mission to Moscow,False,14.473,1994-06-09,4.5,693
331,1012304,Connexion sauvage,False,14.165,2022-11-02,0.0,0
332,730769,Some Like It Rare,False,14.122,2021-09-10,6.7,216
333,764081,Ram Setu,False,13.923,2022-10-25,5.5,4
334,852252,The Accursed,False,13.739,2022-10-14,4.3,11
335,603204,Stars at Noon,False,13.724,2022-10-14,5.5,11
336,872497,Resurrection,False,13.722,2022-07-29,5.9,59
337,793998,Happening,False,13.711,2021-11-24,7.1,203
338,913991,Prison 77,False,13.537,2022-09-23,7.3,14
339,1032545,Astro - Stargazer: Astroscope,False,13.332,2022-10-27,0.0,0
340,788977,Cairo Conspiracy,False,13.196,2022-10-26,7.4,20
341,729454,Don’t Fuck In The Woods 2,False,13.157,2022-10-24,0.0,0
342,986088,Control,False,13.099,2022-09-23,5.7,10
343,659954,Azor,False,13.052,2021-09-10,6.3,47
344,730167,The Reef: Stalked,False,12.989,2022-07-14,6.4,106
345,683363,Girl Picture,False,12.938,2022-04-14,6.3,14
346,906147,Damal,False,12.871,2022-10-28,0.0,0
347,1018247,MK Ultra,False,12.652,2022-10-07,6.0,12
348,660175,Edgar Allen Poe's Ligeia,False,12.589,2022-10-31,0.0,0
349,893369,Jack Mimoun & the secrets of Val Verde,False,12.566,2022-10-12,5.9,21
350,1040964,Moments: Mother,False,12.417,2022-11-02,10.0,1
351,613377,30 Days Max,False,12.399,2020-10-14,5.5,272
352,654739,Hard Hit,False,12.392,2021-06-23,6.7,39
353,78381,Twixt,False,12.324,2011-09-10,4.9,225
354,930921,Strangeness,False,12.252,2022-10-27,7.0,28
355,823951,November,False,12.093,2022-10-05,7.6,188
356,884714,Super Z,False,12.014,2022-10-31,0.0,0
357,768726,Dogtanian and the Three Muskehounds,False,11.991,2021-06-25,6.8,99
358,579496,Call Jane,False,11.71,2022-10-27,6.0,1
359,1022133,The Bodyguard 30th Anniversary,False,11.644,2022-11-06,0.0,0
360,634595,Confession,False,11.63,2022-10-26,9.0,1
361,1040504,Going All The Way - The Director's Edit,False,11.547,2022-11-07,0.0,0
362,981063,Before Dawn,False,11.516,2022-11-01,0.0,0
363,848112,The Kings of the World,False,11.508,2022-10-13,7.0,1
364,947612,Exploited,False,11.496,2022-10-26,10.0,2
365,826680,The Railway Children Return,False,11.49,2022-07-15,6.9,50
366,756307,Delia's Gone,False,11.359,2022-08-19,3.0,5
367,888097,Slayers,False,11.332,2022-10-21,5.4,9
368,696372,A Chance Encounter,False,11.23,2022-10-28,3.0,1
369,893228,Bộ Binh 8,False,11.176,2022-09-23,7.2,41
370,970033,Nona,False,11.105,2022-11-01,0.0,0
371,48035,Ordet,False,11.052,1955-01-09,7.9,277
372,766220,Old Man,False,11.051,2022-10-14,6.5,31
373,1033219,Attack on Titan,False,11.044,2022-09-30,0.0,0
374,1008773,Doctor Who Am I,False,11.02,2022-10-27,10.0,1
375,18094,Anvil! The Story of Anvil,False,11.007,2008-01-14,7.6,211
376,913822,Descendant,False,10.937,2022-10-21,5.6,11
377,957457,Moonage Daydream,False,10.924,2022-09-15,7.7,61
378,992277,The Loneliest Boy in the World,False,10.905,2022-10-14,6.5,4
379,1037422,Benjamin Kling's Interior Cinema,False,10.822,2022-11-06,0.0,0
380,505953,Storm Boy,False,10.724,2019-01-17,7.2,108
381,633657,The Good House,False,10.707,2021-09-15,6.9,12
382,1026148,Grateful Dead Meet-Up 2022,False,10.701,2022-11-01,0.0,0
383,996581,Raven's Hollow,False,10.646,2022-09-22,4.9,12
384,1027385,Dangerous Game: The Legacy Murders,False,10.641,2022-10-21,4.7,3
385,1040127,Hell Hole,False,10.558,2022-10-27,0.0,0
386,1034673,Bathtub Shark Attack,False,10.545,2022-11-01,0.0,0
387,1041485,Torn,False,10.543,2022-10-27,10.0,1
388,1041180,Taew Trong Sab E Lhee,False,10.543,2022-11-03,0.0,0
